
0
"65,813141"
"51,702953"
"36,795914"
"21,321766"
"5,519001"
"-10,368823"
"-26,09684"
"-41,422646"
"-56,110039"
"-69,932648"
"-82,677444"
"-94,147995"
"-104,167511"
"-112,581581"
"-119,260513"
"-124,101372"
"-127,029556"
"-127,999931"
"-126,997543"
"-124,037842"
"-119,166443"
"-112,45842"
"-104,017159"
"-93,972771"
"-82,480042"
"-69,716118"
"-55,877716"
"-41,178108"
"-25,843857"
"-10,111295"
"5,777106"
"21,576468"
"37,043289"
"51,93919"
"66,034592"
"79,112259"
"90,970619"
"101,426926"
"110,320023"
"117,512833"
"122,894516"
"126,382118"
"127,92189"
"127,490097"
"125,093407"
"120,768738"
"114,582764"
"106,630806"
"97,035431"
"85,944527"
"73,52903"
"59,980282"
"45,507103"
"30,33256"
"14,690524"
"-1,177925"
"-17,028219"
"-32,61607"
"-47,701237"
"-62,05122"
"-75,444855"
"-87,67572"
"-98,555305"
"-107,915932"
"-115,613335"
"-121,528877"
"-125,571388"
"-127,678566"
"-127,81794"
"-125,987343"
"-122,215004"
"-116,559067"
"-109,106689"
"-99,972733"
"-89,297974"
"-77,246941"
"-64,005348"
"-49,777302"
"-34,782074"
"-19,250774"
"-3,422778"
"12,457971"
"28,146713"
"43,401653"
"57,987679"
"71,679985"
"84,26754"
"95,556343"
"105,372414"
"113,564461"
"120,006226"
"124,598427"
"127,270287"
"127,980629"
"126,718506"
"123,503372"
"118,384773"
"111,441597"
"102,780869"
"92,536049"
"80,865044"
"67,947731"
"53,983189"
"39,186646"
"23,786152"
"8,019058"
"-7,871626"
"-23,640991"
"-39,045994"
"-53,849213"
"-67,822495"
"-80,750481"
"-92,433929"
"-102,692757"
"-111,368858"
"-118,328522"
"-123,464478"
"-126,697578"
"-127,977974"
"-127,285957"
"-124,632172"
"-120,057526"
"-113,63253"
"-105,456207"
"-95,654564"
"-84,37867"
"-71,802315"
"-58,119328"
"-43,540592"
"-28,290796"
"-12,604979"
"3,275111"
"19,104723"
"34,639889"
"49,641178"
"63,877384"
"77,129097"
"89,192085"
"99,880417"
"109,029373"
"116,49794"
"122,171021"
"125,961166"
"127,809975"
"127,68895"
"125,599945"
"121,575172"
"115,676651"
"107,9953"
"98,649498"
"87,783287"
"75,56414"
"62,180378"
"47,838284"
"32,758892"
"17,174612"
"1,325635"
"-14,543773"
"-30,18903"
"-45,369007"
"-59,849747"
"-73,408066"
"-85,835007"
"-96,939034"
"-106,549019"
"-114,516846"
"-120,719711"
"-125,062019"
"-127,476845"
"-127,926964"
"-126,405449"
"-122,935738"
"-117,571312"
"-110,394859"
"-101,516968"
"-91,074478"
"-79,228325"
"-66,161095"
"-52,074165"
"-37,184662"
"-21,722057"
"-5,924669"
"9,964032"
"25,699165"
"41,038216"
"55,744778"
"69,592186"
"82,367027"
"93,872406"
"103,931007"
"112,387794"
"119,112434"
"124,001289"
"126,979012"
"127,999702"
"127,04763"
"124,137474"
"119,314079"
"112,651787"
"104,253288"
"94,248009"
